method,n,T_orig,p_value,B,time,T_b
ols,30,1.0462908809200635,0.019801980198019802,100,5.016302585601807,"[3.88282212e-01 2.32174815e-01 1.19396118e+00 1.28453038e-01
 9.18199525e-01 6.69591654e-01 4.43761262e-01 6.02007129e-01
 1.80156770e-01 9.07078449e-02 4.30738260e-01 1.87024783e-01
 7.15113992e-03 1.65201969e-01 3.56661118e-01 4.90902112e-01
 1.16971889e-01 3.85679674e-01 1.82372095e-01 1.77953840e-01
 1.11665960e-01 9.06554663e-03 4.49542841e-01 4.94129365e-01
 3.14105743e-01 1.31396113e-02 3.64947454e-01 4.73694008e-01
 1.99430841e-01 6.22568960e-02 3.52549931e-02 1.11316244e-01
 3.25692416e-01 4.76225509e-01 2.97022503e-01 3.55804130e-01
 4.63586483e-01 8.32820347e-03 2.40685622e-01 5.46624547e-02
 1.96459527e-01 4.49268328e-01 5.45917417e-02 1.72636693e-02
 1.08111726e-01 3.85371942e-01 1.30178343e-01 1.15621164e-01
 5.79154884e-02 3.56619917e-01 2.36957080e-01 2.09336647e-01
 2.74231449e-01 3.93908465e-01 3.93481007e-01 5.19484351e-01
 2.02364396e-01 5.27877073e-02 7.01681197e-02 1.65145410e-01
 4.42841374e-01 2.52237912e-01 1.83447209e-01 9.52272211e-03
 3.87007597e-01 2.92199679e-01 4.60199082e-01 3.89215354e-01
 2.94951133e-01 1.55103155e-03 4.73291490e-01 1.12858676e-01
 4.05862956e-01 1.16288667e-01 7.18483910e-01 6.99432678e-01
 2.01905293e-04 1.37970532e-01 1.23236962e-02 3.30857492e-01
 2.75110203e-01 1.08813470e-01 4.57568296e-02 2.12592530e-01
 3.35857394e-01 9.98356907e-02 5.64020457e-01 4.28765115e-01
 3.06340736e-01 9.56934589e-02 1.90442946e-01 9.15474849e-02
 8.75542182e-02 1.35860060e-01 9.84335958e-01 5.53995921e-02
 9.94534031e-02 3.57396855e-01 9.58287912e-02 2.18892407e-01]"
hrt,30,-2.1478773470837473,0.27722772277227725,100,0.09611177444458008,"[-3.54776181 -1.73643771 -0.39382855 -2.24234864 -2.76426361 -5.32989967
 -2.00609798 -2.13379989 -2.61679792 -1.17297966 -2.99742964 -1.44314507
 -3.41165545 -1.54736143 -2.65283852 -4.94441729 -3.59827876 -4.73693024
 -1.03886315 -2.70587081 -2.75356391 -2.68629579 -2.24910417 -3.06102321
 -3.05829496 -3.49973897 -2.11573438 -3.61023072 -5.4013355  -4.85298385
 -2.60287874 -2.09329744 -2.60925478 -3.61557779 -0.74823561 -2.19903824
 -3.27461461 -2.77129508 -1.99637132 -2.18591978 -2.0969929  -3.40478686
 -3.36026362 -2.53185527 -2.97458823 -3.35520877 -3.66214492 -3.34140975
 -3.31958199 -1.1158007  -4.31354186 -3.78467798 -3.90405721 -1.72215344
 -3.59002259 -4.05117489 -1.12080978 -2.38646034 -2.99484655 -2.88877624
 -1.81394614 -3.36195557 -3.49728178 -1.37746633 -3.34868954 -2.97931651
 -3.2559473  -2.5249677  -3.93794655 -1.98361064 -2.14301008 -3.82678289
 -1.33522205 -2.74495124 -4.72726274 -2.79854282 -4.19081376 -1.88269666
 -4.96116516 -4.82970875 -3.4639705  -4.03466352 -2.7833652  -2.91207309
 -3.12911033 -3.82212055 -3.53202916 -4.31129854 -3.65385367 -2.36266873
 -2.34291142 -3.55071276 -1.47080064 -2.10415337 -1.62953474 -2.02890676
 -1.6107962  -4.10703929 -7.39313049 -2.44686508]"
jackknife,30,-36.79215677729886,0.019801980198019802,100,16.33806300163269,"[-61.91470496 -69.0756589  -27.18692393 -70.32735643 -51.27453315
 -56.51793489 -61.63547699 -54.51970329 -70.97657652 -64.51258237
 -68.04359296 -68.3524074  -63.73872869 -67.90545097 -70.0561231
 -70.68838086 -65.79644464 -66.45532535 -70.32716353 -68.69449649
 -67.98545622 -65.9329386  -70.6414441  -65.548788   -67.10026832
 -65.16799508 -66.40403185 -69.28820761 -68.30897233 -65.01069412
 -64.39671605 -67.29365161 -70.37124351 -64.33879275 -68.53315037
 -72.84070852 -63.53571402 -66.15965595 -65.88004895 -64.23681872
 -69.99677387 -60.92201634 -66.00530975 -65.92913126 -64.25394588
 -68.18883993 -68.76113007 -67.52609614 -68.12135485 -72.15766836
 -71.33888634 -69.02054433 -68.76078282 -70.24542124 -64.40328796
 -65.51347357 -70.66396613 -74.63022252 -67.32520401 -67.84379704
 -59.50396804 -71.26551919 -66.26720481 -69.29657339 -67.77200453
 -68.80973441 -63.37183611 -64.35180132 -65.12727515 -69.57779568
 -60.89660848 -65.4388584  -62.5976006  -64.33855278 -49.25706039
 -58.29153994 -66.58485917 -68.94299946 -64.95777961 -71.98267066
 -68.83572626 -69.96399721 -66.77994595 -67.57015517 -69.64357202
 -68.51753464 -64.39329669 -66.17988897 -68.37907443 -66.73181374
 -70.90144038 -70.58505442 -68.62589521 -69.76283264 -50.90508772
 -64.23681872 -66.48880331 -67.67728178 -70.55307001 -69.03496784]"
cross_val,30,-15.138760605915733,0.019801980198019802,100,5.481754302978516,"[-25.63699107 -27.13162657  -9.81959093 -24.15460899 -18.1499277
 -21.76757382 -21.76292368 -18.28680987 -20.00252701 -25.82417789
 -20.38970479 -22.73040064 -24.96655168 -20.84618001 -24.20737659
 -25.59466546 -23.42045583 -24.82761295 -24.06160949 -25.18798853
 -22.95160088 -24.87973751 -22.42579748 -22.5470583  -24.33871544
 -20.46574689 -22.43163702 -22.04097961 -24.93798223 -21.42394824
 -25.11461699 -24.27915303 -22.68596264 -22.69338562 -25.74826221
 -23.78118681 -21.71118077 -24.01221665 -24.85437584 -27.1102679
 -23.99034756 -23.21541589 -29.00078533 -24.43502569 -31.82678231
 -21.87270871 -25.64498608 -25.52394247 -25.14728014 -24.58764639
 -25.72923549 -19.3221725  -24.05684449 -28.46794538 -26.58174683
 -20.75264573 -25.93588864 -31.33791911 -24.71454662 -22.9301568
 -26.84005113 -22.25508127 -21.88122807 -21.74994706 -22.97877304
 -25.31941258 -26.20866854 -27.48461334 -26.37600161 -27.32155294
 -21.68679683 -28.62163018 -23.66575212 -20.52143752 -20.195916
 -19.96947212 -21.08368198 -21.71415432 -27.44734268 -25.73702342
 -22.84866745 -24.10031632 -32.05638319 -25.68946869 -28.75068566
 -29.50658577 -22.9650604  -27.98158996 -27.11959789 -27.46807563
 -19.52799288 -23.74643405 -26.63740679 -24.96365003 -26.11092208
 -22.87590011 -29.48251841 -22.07856044 -34.08530694 -23.71679725]"
train_score,30,-1.0123433792252337,0.019801980198019802,100,0.5880341529846191,"[-1.71558481 -1.79122755 -0.74443108 -1.82875536 -1.42589439 -1.48282361
 -1.67913754 -1.4692262  -1.82474536 -1.84010049 -1.76700322 -1.84010049
 -1.84010049 -1.82028521 -1.8225385  -2.09639416 -1.84010049 -1.7146728
 -1.82714398 -1.82562102 -1.81782242 -1.84010049 -1.83958548 -1.74574797
 -1.77561979 -1.84010049 -1.76849215 -1.68609889 -1.8070455  -1.84010049
 -1.84010049 -1.82238897 -1.83559114 -1.71381901 -2.09639416 -1.78727484
 -1.65496596 -1.84010049 -1.8314113  -1.84010049 -1.81190827 -1.68743335
 -1.84010049 -1.84010049 -1.84010049 -1.77984941 -1.81559583 -1.84010049
 -1.83827958 -1.76830519 -1.82871013 -1.7821819  -1.84010049 -1.76795711
 -1.68344305 -1.65805177 -2.09639416 -1.84010049 -1.84010049 -1.81929394
 -1.62655194 -2.09639416 -1.81405747 -1.84010049 -1.79436367 -1.78238702
 -1.75870913 -1.74084912 -1.76737935 -1.84010049 -1.65686275 -1.84010049
 -1.71924439 -1.84010049 -1.37592994 -1.60366616 -1.84010049 -1.8217755
 -1.84010049 -1.84010049 -1.7981801  -1.8189189  -1.84010049 -1.81808121
 -1.74839884 -1.84010049 -1.6579367  -1.7267522  -1.77756336 -1.84010049
 -1.82194976 -1.82262524 -1.84010049 -1.82490484 -1.42318322 -1.84010049
 -1.84010049 -1.7227458  -1.83261115 -1.84010049]"
ols,50,1.0504181026399608,0.009900990099009901,100,0.058165788650512695,"[1.48579050e-01 1.65007969e-01 1.05689246e-01 1.35270764e-01
 4.53400429e-01 1.03465725e-01 1.38857194e-02 1.51746987e-01
 1.83106488e-01 3.74508935e-01 2.34229147e-01 2.37713646e-01
 1.95120745e-01 3.38040766e-02 5.73570695e-02 1.18219909e-02
 8.77013448e-02 1.57140987e-01 2.87651281e-01 4.45276182e-02
 1.72005571e-01 4.04723645e-01 1.01947529e-01 7.97477130e-02
 2.26541655e-01 1.29854070e-01 1.77497073e-01 8.40952324e-02
 9.02035368e-02 1.54772118e-01 1.24928945e-01 4.58772866e-02
 5.97240481e-02 1.07128553e-01 2.21262934e-01 1.36228838e-01
 3.45212943e-01 1.93804022e-01 2.61636143e-01 1.72383127e-01
 1.09453504e-01 6.63687441e-02 3.05331873e-01 2.09654469e-01
 2.52172258e-01 1.92393422e-01 2.77572298e-01 4.93133545e-02
 3.46161542e-02 2.58574811e-01 2.62861540e-01 4.20867567e-01
 3.30307136e-01 3.04119589e-01 3.54349941e-01 7.45663614e-03
 1.51099935e-01 2.67449348e-01 3.22802825e-04 2.34813270e-01
 3.24543589e-01 1.93620596e-01 7.77036907e-02 5.26296625e-02
 7.72244948e-02 2.53996386e-01 9.80829470e-02 4.31478759e-01
 5.23136874e-02 4.99632462e-01 1.31300026e-02 1.22567047e-02
 3.08311389e-02 6.24652462e-01 5.83323266e-02 1.82394612e-01
 2.88768783e-01 8.37286545e-02 2.71549052e-02 3.52796883e-01
 1.72752298e-01 2.40857124e-01 2.54879690e-02 9.60112354e-02
 1.67582747e-01 1.48199701e-01 2.92313108e-02 3.68520019e-03
 2.41520312e-01 2.80596565e-01 1.60290342e-02 3.19041948e-02
 1.46523326e-01 3.09806305e-01 1.29642377e-01 1.80800480e-01
 1.15915812e-01 1.07990858e-01 3.88392042e-01 2.08074729e-01]"
hrt,50,-0.7137343496470002,0.009900990099009901,100,0.08165574073791504,"[-2.22920401 -4.32769229 -2.59012552 -2.88736781 -2.16804799 -2.88633559
 -3.22863931 -1.97273676 -2.32093097 -3.24577627 -1.77773967 -3.34356775
 -4.11505132 -3.92344647 -1.86852302 -2.99908258 -4.2863086  -2.56045388
 -2.0206144  -2.88403484 -3.82290309 -2.98968332 -2.39673403 -2.59008504
 -1.39218842 -3.11125705 -5.51558588 -3.26867678 -1.94601316 -2.6521284
 -2.6680885  -4.02122995 -3.93250474 -3.70032473 -3.34288704 -3.75724739
 -3.74757976 -3.31348506 -4.46291645 -3.34696378 -1.94947179 -3.83755048
 -2.58912403 -3.27849002 -3.92895145 -2.03305798 -3.23297816 -1.76206995
 -3.35769007 -3.94107857 -3.69443441 -2.1760629  -3.31178423 -3.44887482
 -1.88160259 -2.21091434 -3.74548128 -2.88975501 -2.21373549 -4.11271812
 -3.07727982 -3.06684496 -3.44014869 -2.75097156 -3.87624341 -2.75878261
 -3.37120873 -1.95233842 -3.55618812 -6.04402201 -2.8851626  -3.04872991
 -1.69265659 -3.53586057 -2.98333904 -4.19204116 -1.84752474 -3.35590134
 -2.57283154 -2.84998213 -3.18900478 -2.59366491 -3.3044707  -1.79739402
 -2.7402705  -4.20906206 -5.30349244 -3.60842675 -2.75850766 -3.40577736
 -3.86748669 -3.96437415 -2.40557914 -3.32000645 -3.02624479 -2.33739248
 -2.49356937 -2.75193376 -3.49684548 -2.67839503]"
jackknife,50,-48.45728645997469,0.009900990099009901,100,27.24855899810791,"[ -98.35938146  -99.99555741  -98.31494573  -99.94744314  -93.8069333
  -99.77948465  -99.16099449  -98.32826093  -98.00693159  -92.76236838
 -102.32551746  -96.95322512 -102.08655589 -102.70370184  -97.5755439
  -98.10895702  -99.77020471  -99.44519148  -97.12635407  -97.88072803
 -100.79223114  -93.59878249  -99.08802837  -97.89317373 -100.57348995
  -99.18031756 -100.88140467 -101.23325654  -99.70316288  -99.11283217
  -99.84820379  -97.56754463  -98.71123361 -101.71106246 -103.53162512
  -99.47179164 -102.32854946  -98.25125487 -100.23037386 -100.14336111
  -98.79652653  -97.74767435  -95.74978041  -97.48229993  -97.03124711
 -100.50429789  -94.91858258  -97.41024949  -97.33845739  -99.76335678
 -105.24057875  -96.90225637  -95.74976334  -96.82813863  -96.22484383
  -97.41437906  -97.84826382  -95.62059285  -96.15569404 -102.26497677
  -99.22664494  -97.31317305  -97.39876952  -96.63806355  -98.34661457
  -97.00437045  -96.17497012  -92.65374099 -100.61407088  -83.62904943
  -97.69471044  -98.52238627  -96.6227763   -84.59696808  -98.21639708
 -101.59582254  -99.0539299   -98.46543213  -98.07548232  -95.16777189
  -97.93553813  -98.23312155  -97.50392317  -98.69646458 -100.53894058
  -99.98512571  -98.01607432  -97.83380613  -96.51660489  -97.18358134
  -97.06313621  -97.21762098 -101.54921314 -100.83481499  -99.45781167
  -99.20985112  -97.98763922  -98.49331004  -95.04059765  -98.82341218]"
cross_val,50,-11.301214448230148,0.009900990099009901,100,5.502445220947266,"[-19.22896554 -18.69844626 -20.78126181 -19.08188585 -20.33697402
 -20.68297996 -18.44734526 -22.96820511 -20.99405549 -20.23630508
 -17.98771908 -16.8004315  -22.25144331 -22.23518989 -21.21734689
 -20.33857273 -23.0164018  -22.04239922 -19.72504774 -25.35383874
 -18.76824304 -20.83301455 -19.20026929 -22.65567609 -18.69947486
 -19.81012691 -19.58262516 -20.98656338 -25.12006797 -20.00840225
 -19.28312989 -20.65920309 -22.2877884  -22.05947449 -21.95442148
 -19.04819308 -20.05138432 -18.34735818 -21.58314729 -17.13347945
 -18.45392388 -18.29674207 -19.62531469 -19.10970081 -19.35523998
 -17.40845696 -19.57729808 -21.7061633  -23.11779728 -22.03226466
 -19.22325831 -16.49680172 -21.18537239 -19.92212468 -18.79194938
 -20.84408037 -18.03733235 -17.18629456 -22.2110323  -18.87251171
 -16.48136621 -21.92122279 -21.42827441 -22.4636727  -20.93280818
 -20.58952165 -21.19030887 -18.53564885 -19.78368897 -16.65035749
 -20.44855929 -23.22937673 -23.42969134 -16.75330579 -19.93428607
 -21.00290347 -21.9610781  -20.32599411 -21.47253327 -19.10842551
 -18.3374236  -20.37815969 -23.23890068 -19.78786512 -20.10665551
 -21.08625488 -20.83384966 -19.62382686 -24.35884938 -16.57955144
 -19.95728777 -21.29953913 -18.91784705 -23.30128309 -15.38360116
 -22.62869292 -21.44803886 -24.20132179 -21.76109636 -19.00532399]"
train_score,50,-0.8556768066673085,0.009900990099009901,100,0.5961840152740479,"[-1.80533327 -1.76747547 -1.80533327 -1.80533327 -1.70223303 -1.80352367
 -1.80533327 -1.80533327 -1.770673   -1.6709405  -1.75408144 -1.75228801
 -1.80039028 -1.80533327 -1.80533327 -1.80533327 -1.80420229 -1.76746261
 -1.72851909 -1.80533327 -1.75974044 -1.65578709 -1.80533327 -1.80533327
 -1.80533327 -1.79937764 -1.79888446 -1.8012407  -1.80152283 -1.80533327
 -1.78260037 -1.80533327 -1.80533327 -1.78580469 -1.78730051 -1.7934097
 -1.72680174 -1.80533327 -1.72659204 -1.80533327 -1.78280143 -1.80533327
 -1.72918166 -1.75109951 -1.74413112 -1.79644102 -1.73231468 -1.80533327
 -1.80533327 -1.75396416 -1.75438082 -1.72360801 -1.68431806 -1.73782805
 -1.72786561 -1.80533327 -1.80533327 -1.73705423 -1.80533327 -1.80515293
 -1.71603827 -1.75236609 -1.80533327 -1.80533327 -1.80533327 -1.72903324
 -1.80533327 -1.65372745 -1.80533327 -1.52203037 -1.80533327 -1.80533327
 -1.80533327 -1.54263288 -1.80533327 -1.80533327 -1.75681222 -1.80533327
 -1.80533327 -1.71637065 -1.80533327 -1.74729578 -1.79287785 -1.80533327
 -1.77153676 -1.80533327 -1.80533327 -1.79287785 -1.7427982  -1.7478451
 -1.80533327 -1.80533327 -1.79414728 -1.77762955 -1.7774947  -1.80533327
 -1.80533327 -1.80147894 -1.68051469 -1.80533327]"
